"","ensemble","oxygen","time","siteID","forecast"
"1",1,8.18426617284527,2021-04-01,"BARC",1
"2",1,8.59343323422501,2021-04-02,"BARC",1
"3",1,8.30998925487729,2021-04-03,"BARC",1
"4",1,8.65128242536415,2021-04-04,"BARC",1
"5",1,8.80746298515353,2021-04-05,"BARC",1
"6",1,8.69794063638381,2021-04-06,"BARC",1
"7",1,8.32307974951967,2021-04-07,"BARC",1
"8",2,8.19035513098591,2021-04-01,"BARC",1
"9",2,8.17427722218656,2021-04-02,"BARC",1
"10",2,8.72131858980187,2021-04-03,"BARC",1
"11",2,8.44814762057681,2021-04-04,"BARC",1
"12",2,8.64661377804391,2021-04-05,"BARC",1
"13",2,8.64090682169928,2021-04-06,"BARC",1
"14",2,9.04022534444213,2021-04-07,"BARC",1
"15",3,8.19035513098591,2021-04-01,"BARC",1
"16",3,7.76804107485807,2021-04-02,"BARC",1
"17",3,8.25338006832109,2021-04-03,"BARC",1
"18",3,8.16643156322696,2021-04-04,"BARC",1
"19",3,8.00103865076202,2021-04-05,"BARC",1
"20",3,8.01542674458265,2021-04-06,"BARC",1
"21",3,7.92814722353434,2021-04-07,"BARC",1
"22",4,8.18187486379338,2021-04-01,"BARC",1
"23",4,7.99485718940146,2021-04-02,"BARC",1
"24",4,8.10070479443728,2021-04-03,"BARC",1
"25",4,8.03537027072846,2021-04-04,"BARC",1
"26",4,8.09907334762689,2021-04-05,"BARC",1
"27",4,7.6561188500698,2021-04-06,"BARC",1
"28",4,7.81536999139187,2021-04-07,"BARC",1
"29",5,8.1826404463871,2021-04-01,"BARC",1
"30",5,8.21693730764083,2021-04-02,"BARC",1
"31",5,7.85097336582306,2021-04-03,"BARC",1
"32",5,7.93117312388685,2021-04-04,"BARC",1
"33",5,8.12077308755664,2021-04-05,"BARC",1
"34",5,8.23358470853829,2021-04-06,"BARC",1
"35",5,8.26975688931443,2021-04-07,"BARC",1
"36",6,8.1826404463871,2021-04-01,"BARC",1
"37",6,8.20569935007535,2021-04-02,"BARC",1
"38",6,8.0803115288807,2021-04-03,"BARC",1
"39",6,7.4581427042327,2021-04-04,"BARC",1
"40",6,7.73581843333031,2021-04-05,"BARC",1
"41",6,8.14897554254151,2021-04-06,"BARC",1
"42",6,8.18381756147416,2021-04-07,"BARC",1
"43",7,8.1826404463871,2021-04-01,"BARC",1
"44",7,8.4951900030433,2021-04-02,"BARC",1
"45",7,8.70777155285658,2021-04-03,"BARC",1
"46",7,8.78405276906407,2021-04-04,"BARC",1
"47",7,8.97815250849695,2021-04-05,"BARC",1
"48",7,9.2365179848752,2021-04-06,"BARC",1
"49",7,9.08898544277404,2021-04-07,"BARC",1
"50",8,8.18753594217259,2021-04-01,"BARC",1
"51",8,8.06399737230166,2021-04-02,"BARC",1
"52",8,8.2669928826157,2021-04-03,"BARC",1
"53",8,7.82650465675095,2021-04-04,"BARC",1
"54",8,7.93530860356424,2021-04-05,"BARC",1
"55",8,7.37792618040498,2021-04-06,"BARC",1
"56",8,7.32634081271418,2021-04-07,"BARC",1
"57",9,8.19035513098591,2021-04-01,"BARC",1
"58",9,8.22540260751565,2021-04-02,"BARC",1
"59",9,7.99852086964216,2021-04-03,"BARC",1
"60",9,7.99216054205234,2021-04-04,"BARC",1
"61",9,8.30566564367533,2021-04-05,"BARC",1
"62",9,8.25580643209372,2021-04-06,"BARC",1
"63",9,7.82247706619075,2021-04-07,"BARC",1
"64",10,8.18753594217259,2021-04-01,"BARC",1
"65",10,8.35676041845387,2021-04-02,"BARC",1
"66",10,8.73775452371249,2021-04-03,"BARC",1
"67",10,9.0893635423892,2021-04-04,"BARC",1
"68",10,8.90210893412854,2021-04-05,"BARC",1
"69",10,8.73063630838412,2021-04-06,"BARC",1
"70",10,8.45898989497507,2021-04-07,"BARC",1
"71",11,8.18426617284527,2021-04-01,"BARC",1
"72",11,8.2499142088399,2021-04-02,"BARC",1
"73",11,8.30642689725332,2021-04-03,"BARC",1
"74",11,8.44143220904747,2021-04-04,"BARC",1
"75",11,8.41922957638162,2021-04-05,"BARC",1
"76",11,8.1973049336098,2021-04-06,"BARC",1
"77",11,8.13867738517258,2021-04-07,"BARC",1
"78",12,8.19035513098591,2021-04-01,"BARC",1
"79",12,7.64150782308038,2021-04-02,"BARC",1
"80",12,8.15166898558267,2021-04-03,"BARC",1
"81",12,8.56738425172976,2021-04-04,"BARC",1
"82",12,8.34521886729796,2021-04-05,"BARC",1
"83",12,8.50715237967243,2021-04-06,"BARC",1
"84",12,8.73489692061379,2021-04-07,"BARC",1
"85",13,8.18753594217259,2021-04-01,"BARC",1
"86",13,7.92557790136916,2021-04-02,"BARC",1
"87",13,8.03389881261667,2021-04-03,"BARC",1
"88",13,8.01787810692981,2021-04-04,"BARC",1
"89",13,7.93690713716589,2021-04-05,"BARC",1
"90",13,8.044423614214,2021-04-06,"BARC",1
"91",13,8.04245001846526,2021-04-07,"BARC",1
"92",14,8.18426617284527,2021-04-01,"BARC",1
"93",14,8.16099095038704,2021-04-02,"BARC",1
"94",14,8.83850972911552,2021-04-03,"BARC",1
"95",14,8.34956424688132,2021-04-04,"BARC",1
"96",14,8.37767016982268,2021-04-05,"BARC",1
"97",14,7.72260745116653,2021-04-06,"BARC",1
"98",14,7.72181152808475,2021-04-07,"BARC",1
"99",15,8.2060446042355,2021-04-01,"BARC",1
"100",15,8.21208930941628,2021-04-02,"BARC",1
"101",15,8.09812695045448,2021-04-03,"BARC",1
"102",15,7.75137631504556,2021-04-04,"BARC",1
"103",15,7.99833887462903,2021-04-05,"BARC",1
"104",15,8.00142914355261,2021-04-06,"BARC",1
"105",15,8.45737217141335,2021-04-07,"BARC",1
"106",16,8.1826404463871,2021-04-01,"BARC",1
"107",16,8.6172461953088,2021-04-02,"BARC",1
"108",16,8.65660480288547,2021-04-03,"BARC",1
"109",16,8.52405950432058,2021-04-04,"BARC",1
"110",16,8.54825988500875,2021-04-05,"BARC",1
"111",16,8.92660707695768,2021-04-06,"BARC",1
"112",16,8.95502656150013,2021-04-07,"BARC",1
"113",17,8.19035513098591,2021-04-01,"BARC",1
"114",17,8.00252887619479,2021-04-02,"BARC",1
"115",17,7.83570467951091,2021-04-03,"BARC",1
"116",17,7.72048350868165,2021-04-04,"BARC",1
"117",17,7.53203962561917,2021-04-05,"BARC",1
"118",17,7.78551651186974,2021-04-06,"BARC",1
"119",17,7.37079322962074,2021-04-07,"BARC",1
"120",18,8.1826404463871,2021-04-01,"BARC",1
"121",18,8.2644710486933,2021-04-02,"BARC",1
"122",18,8.31629061603619,2021-04-03,"BARC",1
"123",18,8.35676830729092,2021-04-04,"BARC",1
"124",18,7.81419087773784,2021-04-05,"BARC",1
"125",18,7.79150008560277,2021-04-06,"BARC",1
"126",18,7.8622549000826,2021-04-07,"BARC",1
"127",19,8.18187486379338,2021-04-01,"BARC",1
"128",19,7.87091210605106,2021-04-02,"BARC",1
"129",19,7.78708329428825,2021-04-03,"BARC",1
"130",19,8.3509883528449,2021-04-04,"BARC",1
"131",19,8.44616070443217,2021-04-05,"BARC",1
"132",19,8.47524869910436,2021-04-06,"BARC",1
"133",19,7.91202443813423,2021-04-07,"BARC",1
"134",20,8.1826404463871,2021-04-01,"BARC",1
"135",20,8.17661622400232,2021-04-02,"BARC",1
"136",20,8.34905396093469,2021-04-03,"BARC",1
"137",20,8.55107595033048,2021-04-04,"BARC",1
"138",20,8.67073444853549,2021-04-05,"BARC",1
"139",20,8.59013280645214,2021-04-06,"BARC",1
"140",20,8.8166325424042,2021-04-07,"BARC",1
"141",21,8.1826404463871,2021-04-01,"BARC",1
"142",21,7.68499282871132,2021-04-02,"BARC",1
"143",21,7.97594267993074,2021-04-03,"BARC",1
"144",21,7.91751790288624,2021-04-04,"BARC",1
"145",21,7.69856633038355,2021-04-05,"BARC",1
"146",21,7.703327571283,2021-04-06,"BARC",1
