"","ensemble","oxygen","time","siteID","forecast"
"1",1,8.51189219818183,2021-03-01,"BARC",1
"2",1,7.97519221732259,2021-03-02,"BARC",1
"3",1,8.05297566514436,2021-03-03,"BARC",1
"4",1,7.76761547419285,2021-03-04,"BARC",1
"5",1,7.73983761620497,2021-03-05,"BARC",1
"6",1,7.9824392598981,2021-03-06,"BARC",1
"7",1,7.57458290053263,2021-03-07,"BARC",1
"8",2,8.53003986478693,2021-03-01,"BARC",1
"9",2,8.16963069918877,2021-03-02,"BARC",1
"10",2,8.22516602680181,2021-03-03,"BARC",1
"11",2,8.70039680403791,2021-03-04,"BARC",1
"12",2,8.59510232721558,2021-03-05,"BARC",1
"13",2,8.45537958573561,2021-03-06,"BARC",1
"14",2,8.30308965388237,2021-03-07,"BARC",1
"15",3,8.52857905877916,2021-03-01,"BARC",1
"16",3,8.7768210597208,2021-03-02,"BARC",1
"17",3,8.85275272090458,2021-03-03,"BARC",1
"18",3,9.06447742781835,2021-03-04,"BARC",1
"19",3,8.76983557644782,2021-03-05,"BARC",1
"20",3,9.39561680643009,2021-03-06,"BARC",1
"21",3,10.0564624703418,2021-03-07,"BARC",1
"22",4,8.53112010173681,2021-03-01,"BARC",1
"23",4,8.73328815684839,2021-03-02,"BARC",1
"24",4,8.63856065136133,2021-03-03,"BARC",1
"25",4,8.70630219610997,2021-03-04,"BARC",1
"26",4,8.56642619580685,2021-03-05,"BARC",1
"27",4,8.22070614159166,2021-03-06,"BARC",1
"28",4,7.81617043326861,2021-03-07,"BARC",1
"29",5,8.51401757366678,2021-03-01,"BARC",1
"30",5,8.45755208920212,2021-03-02,"BARC",1
"31",5,8.22370015125934,2021-03-03,"BARC",1
"32",5,8.14824250186543,2021-03-04,"BARC",1
"33",5,8.35578384891518,2021-03-05,"BARC",1
"34",5,8.111691825233,2021-03-06,"BARC",1
"35",5,7.9569577463785,2021-03-07,"BARC",1
"36",6,8.53667174733758,2021-03-01,"BARC",1
"37",6,8.54117254997802,2021-03-02,"BARC",1
"38",6,8.09685877027201,2021-03-03,"BARC",1
"39",6,8.32431487672245,2021-03-04,"BARC",1
"40",6,8.45557985757513,2021-03-05,"BARC",1
"41",6,8.12003192012031,2021-03-06,"BARC",1
"42",6,8.04739648613997,2021-03-07,"BARC",1
"43",7,8.51780686912892,2021-03-01,"BARC",1
"44",7,8.39351223965921,2021-03-02,"BARC",1
"45",7,8.25854488746677,2021-03-03,"BARC",1
"46",7,8.3947543457397,2021-03-04,"BARC",1
"47",7,8.47283263906924,2021-03-05,"BARC",1
"48",7,8.07239653556434,2021-03-06,"BARC",1
"49",7,7.88151696078838,2021-03-07,"BARC",1
"50",8,8.50929779205915,2021-03-01,"BARC",1
"51",8,8.58072720797026,2021-03-02,"BARC",1
"52",8,8.61907090047689,2021-03-03,"BARC",1
"53",8,8.61717497084105,2021-03-04,"BARC",1
"54",8,8.51075082276727,2021-03-05,"BARC",1
"55",8,8.45730024070214,2021-03-06,"BARC",1
"56",8,8.47851096186551,2021-03-07,"BARC",1
"57",9,8.51133874160909,2021-03-01,"BARC",1
"58",9,8.39570136168873,2021-03-02,"BARC",1
"59",9,8.82963627562194,2021-03-03,"BARC",1
"60",9,8.74579163251952,2021-03-04,"BARC",1
"61",9,9.05855811259168,2021-03-05,"BARC",1
"62",9,9.07975461315386,2021-03-06,"BARC",1
"63",9,8.99871431327087,2021-03-07,"BARC",1
"64",10,8.51281602354885,2021-03-01,"BARC",1
"65",10,8.63864573832735,2021-03-02,"BARC",1
"66",10,8.57669409549423,2021-03-03,"BARC",1
"67",10,9.08981638824595,2021-03-04,"BARC",1
"68",10,8.60181179838253,2021-03-05,"BARC",1
"69",10,8.46219993637801,2021-03-06,"BARC",1
"70",10,8.24756154396756,2021-03-07,"BARC",1
"71",11,8.54163214008154,2021-03-01,"BARC",1
"72",11,7.91070134464485,2021-03-02,"BARC",1
"73",11,7.62181040570788,2021-03-03,"BARC",1
"74",11,7.79915035979719,2021-03-04,"BARC",1
"75",11,7.88947162609861,2021-03-05,"BARC",1
"76",11,7.57991291473152,2021-03-06,"BARC",1
"77",11,7.60716363295322,2021-03-07,"BARC",1
"78",12,8.52574561298908,2021-03-01,"BARC",1
"79",12,8.56546337444468,2021-03-02,"BARC",1
"80",12,8.40734562894541,2021-03-03,"BARC",1
"81",12,8.98887321853013,2021-03-04,"BARC",1
"82",12,9.10075745605487,2021-03-05,"BARC",1
"83",12,9.00721365286489,2021-03-06,"BARC",1
"84",12,9.27959480152649,2021-03-07,"BARC",1
"85",13,8.50651793483277,2021-03-01,"BARC",1
"86",13,8.40378212364531,2021-03-02,"BARC",1
"87",13,8.45047039031424,2021-03-03,"BARC",1
"88",13,8.75541211018465,2021-03-04,"BARC",1
"89",13,8.58470488519327,2021-03-05,"BARC",1
"90",13,8.65914440305683,2021-03-06,"BARC",1
"91",13,8.35583667628292,2021-03-07,"BARC",1
"92",14,8.52103340457937,2021-03-01,"BARC",1
"93",14,8.64133264607424,2021-03-02,"BARC",1
"94",14,8.63593445317239,2021-03-03,"BARC",1
"95",14,8.65002781130375,2021-03-04,"BARC",1
"96",14,8.88425256667426,2021-03-05,"BARC",1
"97",14,8.72858628458114,2021-03-06,"BARC",1
"98",14,8.88288192745253,2021-03-07,"BARC",1
"99",15,8.52707606687517,2021-03-01,"BARC",1
"100",15,8.15513130479398,2021-03-02,"BARC",1
"101",15,7.9818203762697,2021-03-03,"BARC",1
"102",15,7.69809405652281,2021-03-04,"BARC",1
"103",15,7.79996950957313,2021-03-05,"BARC",1
"104",15,7.27510217299703,2021-03-06,"BARC",1
"105",15,7.08220938211726,2021-03-07,"BARC",1
"106",16,8.49194982609017,2021-03-01,"BARC",1
"107",16,8.39833155625266,2021-03-02,"BARC",1
"108",16,8.58468441295238,2021-03-03,"BARC",1
"109",16,8.69939471545734,2021-03-04,"BARC",1
"110",16,8.37426740750459,2021-03-05,"BARC",1
"111",16,8.21840457411617,2021-03-06,"BARC",1
"112",16,8.13402371343388,2021-03-07,"BARC",1
"113",17,8.51398054101673,2021-03-01,"BARC",1
"114",17,8.6982023116261,2021-03-02,"BARC",1
"115",17,8.83167795484489,2021-03-03,"BARC",1
"116",17,8.50506761035252,2021-03-04,"BARC",1
"117",17,7.96316184115497,2021-03-05,"BARC",1
"118",17,7.55138602442239,2021-03-06,"BARC",1
"119",17,7.49995077693267,2021-03-07,"BARC",1
"120",18,8.50760307566094,2021-03-01,"BARC",1
"121",18,7.91223263802984,2021-03-02,"BARC",1
"122",18,7.88237498143624,2021-03-03,"BARC",1
"123",18,7.01012961778744,2021-03-04,"BARC",1
"124",18,7.42483187656003,2021-03-05,"BARC",1
"125",18,7.33469556974295,2021-03-06,"BARC",1
"126",18,7.38970154779474,2021-03-07,"BARC",1
"127",19,8.528388417404,2021-03-01,"BARC",1
"128",19,8.63481379228235,2021-03-02,"BARC",1
"129",19,8.35413719051802,2021-03-03,"BARC",1
"130",19,8.62887315018289,2021-03-04,"BARC",1
"131",19,8.44636350413326,2021-03-05,"BARC",1
"132",19,8.11556119363246,2021-03-06,"BARC",1
"133",19,8.2207734943326,2021-03-07,"BARC",1
"134",20,8.50771744591159,2021-03-01,"BARC",1
"135",20,8.2772146031519,2021-03-02,"BARC",1
"136",20,8.60359466196539,2021-03-03,"BARC",1
"137",20,8.58146930476714,2021-03-04,"BARC",1
"138",20,8.74457815852447,2021-03-05,"BARC",1
"139",20,8.77850446275271,2021-03-06,"BARC",1
"140",20,9.25397913789616,2021-03-07,"BARC",1
"141",21,8.53347527910078,2021-03-01,"BARC",1
"142",21,8.37531737218418,2021-03-02,"BARC",1
"143",21,8.76131453516605,2021-03-03,"BARC",1
"144",21,8.77958937351616,2021-03-04,"BARC",1
"145",21,8.50393513551419,2021-03-05,"BARC",1
"146",21,8.58796009548218,2021-03-06,"BARC",1
"147",21,8.64926754463801,2021-03-07,"BARC",1
"148",22,8.53037305289513,2021-03-01,"BARC",1
"149",22,8.25790026741588,2021-03-02,"BARC",1
"150",22,7.99087698216578,2021-03-03,"BARC",1
"151",22,8.1521165677665,2021-03-04,"BARC",1
"152",22,7.94493835611918,2021-03-05,"BARC",1
"153",22,7.98284188094232,2021-03-06,"BARC",1
"154",22,7.54249594185415,2021-03-07,"BARC",1
"155",23,8.51328632592536,2021-03-01,"BARC",1
"156",23,8.66661156342593,2021-03-02,"BARC",1
"157",23,8.92849135675885,2021-03-03,"BARC",1
"158",23,8.84007490485184,2021-03-04,"BARC",1
"159",23,8.83946260745196,2021-03-05,"BARC",1
"160",23,8.85771283826095,2021-03-06,"BARC",1
"161",23,9.15792061820213,2021-03-07,"BARC",1
"162",24,8.50711918845256,2021-03-01,"BARC",1
"163",24,8.6267153339738,2021-03-02,"BARC",1
"164",24,8.36706450022338,2021-03-03,"BARC",1
"165",24,8.14653338384866,2021-03-04,"BARC",1
"166",24,8.47579699046747,2021-03-05,"BARC",1
"167",24,8.562230889539,2021-03-06,"BARC",1
"168",24,8.62443357423887,2021-03-07,"BARC",1
"169",25,8.51457862866737,2021-03-01,"BARC",1
"170",25,8.66429364438633,2021-03-02,"BARC",1
"171",25,8.92514562581595,2021-03-03,"BARC",1
"172",25,8.48334585841054,2021-03-04,"BARC",1
"173",25,8.85535116384649,2021-03-05,"BARC",1
"174",25,8.60005265069586,2021-03-06,"BARC",1
"175",25,8.65565733492017,2021-03-07,"BARC",1
"176",26,8.54011892603955,2021-03-01,"BARC",1
"177",26,8.37184194877944,2021-03-02,"BARC",1
"178",26,8.38969936269237,2021-03-03,"BARC",1
"179",26,8.25434465252736,2021-03-04,"BARC",1
"180",26,8.33935177928141,2021-03-05,"BARC",1
"181",26,8.19366703950964,2021-03-06,"BARC",1
"182",26,8.54675790481902,2021-03-07,"BARC",1
"183",27,8.53027757354807,2021-03-01,"BARC",1
"184",27,8.60735867091504,2021-03-02,"BARC",1
"185",27,8.72021075335737,2021-03-03,"BARC",1
"186",27,8.55733093650719,2021-03-04,"BARC",1
"187",27,8.57180728430001,2021-03-05,"BARC",1
"188",27,8.56541041736838,2021-03-06,"BARC",1
"189",27,8.44831932887615,2021-03-07,"BARC",1
"190",28,8.50370897611316,2021-03-01,"BARC",1
"191",28,8.201710184309,2021-03-02,"BARC",1
"192",28,7.77145470108364,2021-03-03,"BARC",1
"193",28,8.04008284648779,2021-03-04,"BARC",1
"194",28,7.79523327911616,2021-03-05,"BARC",1
"195",28,7.58725444118665,2021-03-06,"BARC",1
"196",28,7.41919018462336,2021-03-07,"BARC",1
"197",29,8.50711200551417,2021-03-01,"BARC",1
"198",29,8.47039708312694,2021-03-02,"BARC",1
"199",29,8.3638950423115,2021-03-03,"BARC",1
"200",29,8.73755833754295,2021-03-04,"BARC",1
"201",29,9.0965487989315,2021-03-05,"BARC",1
"202",29,9.24426395136815,2021-03-06,"BARC",1
"203",29,9.14841711260518,2021-03-07,"BARC",1
"204",30,8.52645533483101,2021-03-01,"BARC",1
"205",30,8.24810865968787,2021-03-02,"BARC",1
"206",30,8.2529106627009,2021-03-03,"BARC",1
"207",30,8.229770339013,2021-03-04,"BARC",1
"208",30,8.24192775924084,2021-03-05,"BARC",1
"209",30,8.51371142291866,2021-03-06,"BARC",1
"210",30,8.57595154763094,2021-03-07,"BARC",1
"211",31,8.52569750274619,2021-03-01,"BARC",1
"212",31,8.58510162338689,2021-03-02,"BARC",1
"213",31,8.69053761984738,2021-03-03,"BARC",1
"214",31,8.36673616603883,2021-03-04,"BARC",1
"215",31,8.43258232253248,2021-03-05,"BARC",1
"216",31,8.4704080586767,2021-03-06,"BARC",1
"217",31,8.22120155081057,2021-03-07,"BARC",1
"218",32,8.51855683101142,2021-03-01,"BARC",1
"219",32,8.63941085880697,2021-03-02,"BARC",1
"220",32,8.86582086785188,2021-03-03,"BARC",1
"221",32,8.92079431512563,2021-03-04,"BARC",1
"222",32,9.3556983146913,2021-03-05,"BARC",1
"223",32,9.75244893244583,2021-03-06,"BARC",1
"224",32,9.52689904995032,2021-03-07,"BARC",1
"225",33,8.51794613997146,2021-03-01,"BARC",1
"226",33,8.43324458448137,2021-03-02,"BARC",1
"227",33,8.07696628430336,2021-03-03,"BARC",1
"228",33,8.22355195992655,2021-03-04,"BARC",1
"229",33,8.03095685424658,2021-03-05,"BARC",1
"230",33,8.15214168867319,2021-03-06,"BARC",1
"231",33,8.09138366426066,2021-03-07,"BARC",1
"232",34,8.52141112222535,2021-03-01,"BARC",1
"233",34,7.98224473582985,2021-03-02,"BARC",1
"234",34,7.90811825932841,2021-03-03,"BARC",1
"235",34,8.00438395612588,2021-03-04,"BARC",1
"236",34,7.92230143679745,2021-03-05,"BARC",1
"237",34,7.91473110312223,2021-03-06,"BARC",1
"238",34,7.7259928630257,2021-03-07,"BARC",1
"239",35,8.53210288251017,2021-03-01,"BARC",1
"240",35,8.19704720000635,2021-03-02,"BARC",1
"241",35,7.61389673522641,2021-03-03,"BARC",1
"242",35,7.36483579817987,2021-03-04,"BARC",1
"243",35,7.42625281775483,2021-03-05,"BARC",1
"244",35,7.11329742474199,2021-03-06,"BARC",1
"245",35,7.0297020239984,2021-03-07,"BARC",1
"246",36,8.54550724970222,2021-03-01,"BARC",1
"247",36,8.79138132231047,2021-03-02,"BARC",1
"248",36,8.39922911365385,2021-03-03,"BARC",1
"249",36,8.39567386378543,2021-03-04,"BARC",1
"250",36,8.12398539579916,2021-03-05,"BARC",1
"251",36,8.32976278431039,2021-03-06,"BARC",1
"252",36,8.49025502962227,2021-03-07,"BARC",1
"253",37,8.51823646709019,2021-03-01,"BARC",1
"254",37,8.57693619361321,2021-03-02,"BARC",1
"255",37,8.83708117980369,2021-03-03,"BARC",1
"256",37,8.94982234371236,2021-03-04,"BARC",1
"257",37,9.00666705586561,2021-03-05,"BARC",1
"258",37,8.83747946535258,2021-03-06,"BARC",1
"259",37,8.55556587508005,2021-03-07,"BARC",1
"260",38,8.53589299510195,2021-03-01,"BARC",1
"261",38,8.14940258850759,2021-03-02,"BARC",1
"262",38,7.94738757724943,2021-03-03,"BARC",1
"263",38,7.78504129822806,2021-03-04,"BARC",1
"264",38,7.66640319634104,2021-03-05,"BARC",1
"265",38,7.59968637745203,2021-03-06,"BARC",1
"266",38,7.8993152435768,2021-03-07,"BARC",1
"267",39,8.50764924326275,2021-03-01,"BARC",1
"268",39,8.88551840879761,2021-03-02,"BARC",1
"269",39,8.88555567115895,2021-03-03,"BARC",1
"270",39,8.88872421318764,2021-03-04,"BARC",1
"271",39,9.10493590176629,2021-03-05,"BARC",1
"272",39,8.91698237553234,2021-03-06,"BARC",1
"273",39,8.23389799852306,2021-03-07,"BARC",1
"274",40,8.52483423310431,2021-03-01,"BARC",1
"275",40,8.7517179791601,2021-03-02,"BARC",1
"276",40,8.71073032018167,2021-03-03,"BARC",1
"277",40,8.9976421821859,2021-03-04,"BARC",1
"278",40,9.32081086113008,2021-03-05,"BARC",1
"279",40,9.42882430358272,2021-03-06,"BARC",1
"280",40,9.14687631183218,2021-03-07,"BARC",1
"281",41,8.52273227639214,2021-03-01,"BARC",1
"282",41,8.7495266075147,2021-03-02,"BARC",1
"283",41,8.80932158827455,2021-03-03,"BARC",1
"284",41,8.55084275810207,2021-03-04,"BARC",1
"285",41,8.94097836943271,2021-03-05,"BARC",1
"286",41,9.25964125470913,2021-03-06,"BARC",1
"287",41,9.08006138764324,2021-03-07,"BARC",1
"288",42,8.52064758645883,2021-03-01,"BARC",1
"289",42,8.40217926905342,2021-03-02,"BARC",1
"290",42,8.55914190917591,2021-03-03,"BARC",1
"291",42,8.67114849634555,2021-03-04,"BARC",1
"292",42,8.60074762447994,2021-03-05,"BARC",1
"293",42,8.49754917511803,2021-03-06,"BARC",1
"294",42,7.91570157684033,2021-03-07,"BARC",1
"295",43,8.51465678822741,2021-03-01,"BARC",1
"296",43,8.26862994367005,2021-03-02,"BARC",1
"297",43,7.9283126354882,2021-03-03,"BARC",1
"298",43,7.9491245160367,2021-03-04,"BARC",1
"299",43,7.94588556554207,2021-03-05,"BARC",1
"300",43,8.20941398433876,2021-03-06,"BARC",1
"301",43,7.91762837862433,2021-03-07,"BARC",1
"302",44,8.50937004932911,2021-03-01,"BARC",1
"303",44,8.68389284042463,2021-03-02,"BARC",1
"304",44,8.66433090077864,2021-03-03,"BARC",1
"305",44,8.90673110949339,2021-03-04,"BARC",1
"306",44,8.76322929732458,2021-03-05,"BARC",1
"307",44,8.93063529234109,2021-03-06,"BARC",1
"308",44,8.71803866165544,2021-03-07,"BARC",1
"309",45,8.52489016154726,2021-03-01,"BARC",1
"310",45,8.34695939910078,2021-03-02,"BARC",1
"311",45,8.4432971306643,2021-03-03,"BARC",1
"312",45,8.35786229699939,2021-03-04,"BARC",1
"313",45,8.19908738126116,2021-03-05,"BARC",1
"314",45,8.18014485849985,2021-03-06,"BARC",1
"315",45,8.15133292227932,2021-03-07,"BARC",1
"316",46,8.53149250136408,2021-03-01,"BARC",1
"317",46,8.69568125789472,2021-03-02,"BARC",1
"318",46,8.56402417485894,2021-03-03,"BARC",1
"319",46,8.32564000788106,2021-03-04,"BARC",1
"320",46,8.69590777304607,2021-03-05,"BARC",1
"321",46,8.61918736966716,2021-03-06,"BARC",1
"322",46,8.40039470413044,2021-03-07,"BARC",1
"323",47,8.52287532747664,2021-03-01,"BARC",1
"324",47,8.70336469976362,2021-03-02,"BARC",1
"325",47,8.72927221091576,2021-03-03,"BARC",1
"326",47,8.40502408163769,2021-03-04,"BARC",1
"327",47,8.52401104941064,2021-03-05,"BARC",1
"328",47,8.41042262709902,2021-03-06,"BARC",1
"329",47,8.7617886176365,2021-03-07,"BARC",1
"330",48,8.51462620556405,2021-03-01,"BARC",1
"331",48,8.59744071056094,2021-03-02,"BARC",1
"332",48,8.64099096499781,2021-03-03,"BARC",1
"333",48,8.31926297483486,2021-03-04,"BARC",1
"334",48,8.03341020365574,2021-03-05,"BARC",1
"335",48,7.93969702347852,2021-03-06,"BARC",1
"336",48,7.64580189055043,2021-03-07,"BARC",1
"337",49,8.50497373943507,2021-03-01,"BARC",1
"338",49,8.97608932901214,2021-03-02,"BARC",1
